eventID,parentEventID,samplingProtocol,year,month,day,eventDate,habitat,eventRemarks,locationID,country,countryCode,stateProvince,county,locality,decimalLongitude,decimalLatitude,geodeticDatum,coordinateUncertaintyInMeters,georeferencedBy,georeferenceProtocol
LiloanMPA:S01:2015-03:physicochemical,LiloanMPA:S01:2015-03,Grab sampling,2015,3,,2015-03,Shallow coral reef,sampled during NE monsoon,S01,Philippines,PH,Cebu,Liloan,Poblacion,124.005042,10.402056,WGS84,50,Brisneve Edullantes | Eukene Bensig | Fleurdeliz Maglangit | Angelito Ortiz | Lorraine Louise Vicentuan,Hand-held GPS
LiloanMPA:S02:2015-03:physicochemical,LiloanMPA:S02:2015-03,Grab sampling,2015,3,,2015-03,Shallow coral reef,sampled during NE monsoon,S02,Philippines,PH,Cebu,Liloan,Poblacion,124.008306,10.402750,WGS84,50,Brisneve Edullantes | Eukene Bensig | Fleurdeliz Maglangit | Angelito Ortiz | Lorraine Louise Vicentuan,Hand-held GPS
LiloanMPA:S03:2015-03:physicochemical,LiloanMPA:S03:2015-03,Grab sampling,2015,3,,2015-03,Shallow coral reef,sampled during NE monsoon,S03,Philippines,PH,Cebu,Liloan,Poblacion,124.005500,10.406444,WGS84,50,Brisneve Edullantes | Eukene Bensig | Fleurdeliz Maglangit | Angelito Ortiz | Lorraine Louise Vicentuan,Hand-held GPS
LiloanMPA:S04:2015-03:physicochemical,LiloanMPA:S04:2015-03,Grab sampling,2015,3,,2015-03,Shallow coral reef,sampled during NE monsoon,S04,Philippines,PH,Cebu,Liloan,Poblacion,124.004774,10.401890,WGS84,50,Brisneve Edullantes | Eukene Bensig | Fleurdeliz Maglangit | Angelito Ortiz,Hand-held GPS
LiloanMPA:S05:2015-03:physicochemical,LiloanMPA:S05:2015-03,Grab sampling,2015,3,,2015-03,Shallow coral reef,sampled during NE monsoon,S05,Philippines,PH,Cebu,Liloan,Between Kadurong and Poblacion,124.008201,10.397637,WGS84,50,Brisneve Edullantes | Eukene Bensig | Fleurdeliz Maglangit | Angelito Ortiz,Hand-held GPS
LiloanMPA:S06:2015-03:physicochemical,LiloanMPA:S06:2015-03,Grab sampling,2015,3,,2015-03,Shallow coral reef,sampled during NE monsoon,S06,Philippines,PH,Cebu,Liloan,Between Kadurong and Poblacion,124.006449,10.397137,WGS84,50,Brisneve Edullantes | Eukene Bensig | Fleurdeliz Maglangit | Angelito Ortiz,Hand-held GPS
LiloanMPA:S07:2015-03:physicochemical,LiloanMPA:S07:2015-03,Grab sampling,2015,3,,2015-03,Shallow coral reef,sampled during NE monsoon,S07,Philippines,PH,Cebu,Liloan,Kadurong,124.009444,10.392639,WGS84,50,Brisneve Edullantes | Eukene Bensig | Fleurdeliz Maglangit | Angelito Ortiz | Lorraine Louise Vicentuan,Hand-held GPS
LiloanMPA:S08:2015-03:physicochemical,LiloanMPA:S08:2015-03,Grab sampling,2015,3,,2015-03,Shallow coral reef,sampled during NE monsoon,S08,Philippines,PH,Cebu,Liloan,Kadurong,124.010417,10.394917,WGS84,50,Brisneve Edullantes | Eukene Bensig | Fleurdeliz Maglangit | Angelito Ortiz | Lorraine Louise Vicentuan,Hand-held GPS
LiloanMPA:S09:2015-03:physicochemical,LiloanMPA:S09:2015-03,Grab sampling,2015,3,,2015-03,Shallow coral reef,sampled during NE monsoon,S09,Philippines,PH,Cebu,Liloan,Kadurong,124.009194,10.395444,WGS84,50,Brisneve Edullantes | Eukene Bensig | Fleurdeliz Maglangit | Angelito Ortiz | Lorraine Louise Vicentuan,Hand-held GPS
LiloanMPA:S10:2015-03:physicochemical,LiloanMPA:S10:2015-03,Grab sampling,2015,3,,2015-03,Shallow coral reef,sampled during NE monsoon,S10,Philippines,PH,Cebu,Liloan,Kadurong,124.007792,10.395457,WGS84,50,Brisneve Edullantes | Eukene Bensig | Fleurdeliz Maglangit | Angelito Ortiz,Hand-held GPS
LiloanMPA:S11:2016-03:physicochemical,LiloanMPA:S11:2016-03,Grab sampling,2016,3,,2016-03,Shallow coral reef,sampled during NE monsoon,S11,Philippines,PH,Cebu,Liloan,Poblacion,124.005466,10.400443,WGS84,50,Brisneve Edullantes | Eukene Bensig | Fleurdeliz Maglangit | Joana Mie Casibo,Hand-held GPS
LiloanMPA:S12:2016-03:physicochemical,LiloanMPA:S12:2016-03,Grab sampling,2016,3,,2016-03,Shallow coral reef,sampled during NE monsoon,S12,Philippines,PH,Cebu,Liloan,Poblacion,124.006214,10.403847,WGS84,50,Brisneve Edullantes | Eukene Bensig | Fleurdeliz Maglangit | Joana Mie Casibo,Hand-held GPS
LiloanMPA:S13:2016-03:physicochemical,LiloanMPA:S13:2016-03,Grab sampling,2016,3,,2016-03,Shallow coral reef,sampled during NE monsoon,S13,Philippines,PH,Cebu,Liloan,Poblacion,124.007222,10.400833,WGS84,50,Brisneve Edullantes | Eukene Bensig | Fleurdeliz Maglangit | Joana Mie Casibo,Hand-held GPS
LiloanMPA:S14:2016-03:physicochemical,LiloanMPA:S14:2016-03,Grab sampling,2016,3,,2016-03,Shallow coral reef,sampled during NE monsoon,S14,Philippines,PH,Cebu,Liloan,Poblacion,124.008333,10.401667,WGS84,50,Brisneve Edullantes | Eukene Bensig | Fleurdeliz Maglangit | Joana Mie Casibo,Hand-held GPS
LiloanMPA:S15:2016-03:physicochemical,LiloanMPA:S15:2016-03,Grab sampling,2016,3,,2016-03,Shallow coral reef,sampled during NE monsoon,S15,Philippines,PH,Cebu,Liloan,Between Kadurong and Poblacion,124.005833,10.398056,WGS84,50,Brisneve Edullantes | Eukene Bensig | Fleurdeliz Maglangit | Joana Mie Casibo,Hand-held GPS
