eventID,occurrenceID,basisOfRecord,eventDate,scientificName,taxonRank,taxonID,specificEpithet,genus,family,order,class,phylum,kingdom,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,countryCode,individualCount,organismQuantity,organismQuantityType,recordedBy
LiloanMPA:S01:2015-03:phytoplankton,"LiloanMPA:S01:2015-03:phytoplankton:Achnanthes Bory, 1822",HumanObservation,2015-03,"Achnanthes Bory, 1822",genus,urn:lsid:marinespecies.org:taxname:149191,,Achnanthes,Achnanthaceae,Achnanthales,Bacillariophyceae,Ochrophyta,Chromista,10.402056,124.005042,WGS84,50,PH,700,700,individual per liter,Brisneve Edullantes | Angelito Ortiz
LiloanMPA:S01:2015-03:phytoplankton,"LiloanMPA:S01:2015-03:phytoplankton:Actinocyclus C.G. Ehrenberg, 1837",HumanObservation,2015-03,"Actinocyclus C.G. Ehrenberg, 1837",genus,urn:lsid:marinespecies.org:taxname:148944,,Actinocyclus,Hemidiscaceae,Coscinodiscales,Bacillariophyceae,Ochrophyta,Chromista,10.402056,124.005042,WGS84,50,PH,400,400,individual per liter,Brisneve Edullantes | Angelito Ortiz
LiloanMPA:S01:2015-03:phytoplankton,"LiloanMPA:S01:2015-03:phytoplankton:Actinoptychus C.G. Ehrenberg, 1843",HumanObservation,2015-03,"Actinoptychus C.G. Ehrenberg, 1843",genus,urn:lsid:marinespecies.org:taxname:148947,,Actinoptychus,Heliopeltaceae,Coscinodiscales,Bacillariophyceae,Ochrophyta,Chromista,10.402056,124.005042,WGS84,50,PH,300,300,individual per liter,Brisneve Edullantes | Angelito Ortiz
LiloanMPA:S01:2015-03:phytoplankton,"LiloanMPA:S01:2015-03:phytoplankton:Alexandrium tamarense (Lebour) Balech, 1995",HumanObservation,2015-03,"Alexandrium tamarense (Lebour) Balech, 1995",species,urn:lsid:marinespecies.org:taxname:109714,tamarense,Alexandrium,Ostreopsidaceae,Gonyaulacales,Dinophyceae,Myzozoa,Chromista,10.402056,124.005042,WGS84,50,PH,300,300,individual per liter,Brisneve Edullantes | Angelito Ortiz
LiloanMPA:S01:2015-03:phytoplankton,"LiloanMPA:S01:2015-03:phytoplankton:Amphidinium Claperède & Lachmann, 1859",HumanObservation,2015-03,"Amphidinium Claperède & Lachmann, 1859",genus,urn:lsid:marinespecies.org:taxname:109473,,Amphidinium,Amphidiniaceae,Amphidiniales,Dinophyceae,Myzozoa,Chromista,10.402056,124.005042,WGS84,50,PH,100,100,individual per liter,Brisneve Edullantes | Angelito Ortiz
LiloanMPA:S01:2015-03:phytoplankton,"LiloanMPA:S01:2015-03:phytoplankton:Anabaena Bory de Saint-Vincent ex Bornet & Flahault, 1886",HumanObservation,2015-03,"Anabaena Bory de Saint-Vincent ex Bornet & Flahault, 1886",genus,urn:lsid:marinespecies.org:taxname:146585,,Anabaena,Nostocaceae,Nostocales,Cyanophyceae,Cyanobacteria,Bacteria,10.402056,124.005042,WGS84,50,PH,100,100,individual per liter,Brisneve Edullantes | Angelito Ortiz
LiloanMPA:S01:2015-03:phytoplankton,"LiloanMPA:S01:2015-03:phytoplankton:Biddulphia S.F. Gray, 1821",HumanObservation,2015-03,"Biddulphia S.F. Gray, 1821",genus,urn:lsid:marinespecies.org:taxname:148967,,Biddulphia,Biddulphiaceae,Biddulphiales,Bacillariophyceae,Ochrophyta,Chromista,10.402056,124.005042,WGS84,50,PH,100,100,individual per liter,Brisneve Edullantes | Angelito Ortiz
LiloanMPA:S01:2015-03:phytoplankton,"LiloanMPA:S01:2015-03:phytoplankton:Ceratocorys Stein, 1883",HumanObservation,2015-03,"Ceratocorys Stein, 1883",genus,urn:lsid:marinespecies.org:taxname:109507,,Ceratocorys,Ceratocoryaceae,Gonyaulacales,Dinophyceae,Myzozoa,Chromista,10.402056,124.005042,WGS84,50,PH,400,400,individual per liter,Brisneve Edullantes | Angelito Ortiz
LiloanMPA:S01:2015-03:phytoplankton,"LiloanMPA:S01:2015-03:phytoplankton:Chaetoceros danicus Cleve, 1889",HumanObservation,2015-03,"Chaetoceros danicus Cleve, 1889",species,urn: lsid: marinespecies.org: taxname: 149120,danicus,Chaetoceros,Chaetocerotaceae,Chaetocerotanae incertae sedis,Bacillariophyceae,Ochrophyta,Chromista,10.402056,124.005042,WGS84,50,PH,200,200,individual per liter,Brisneve Edullantes | Angelito Ortiz
LiloanMPA:S01:2015-03:phytoplankton,"LiloanMPA:S01:2015-03:phytoplankton:Cocconeis C.G. Ehrenberg, 1837",HumanObservation,2015-03,"Cocconeis C.G. Ehrenberg, 1837",genus,urn:lsid:marinespecies.org:taxname:148989,,Cocconeis,Cocconeidaceae,Achnanthales,Bacillariophyceae,Ochrophyta,Chromista,10.402056,124.005042,WGS84,50,PH,1000,1000,individual per liter,Brisneve Edullantes | Angelito Ortiz
